Date,Open,High,Low,Close,Adj Close,Volume
2013-07-23,28.700001,28.9,27.5,28.700001,28.700001,3082248
2013-07-24,27.6,29.200001,27.6,27.6,27.6,1986575
2013-07-25,27.6,27.9,26.9,27.6,27.6,1714963
2013-07-26,27.4,27.9,27.299999,27.4,27.4,500852
2013-07-29,27.1,27.799999,27.1,27.1,27.1,681088
2013-07-30,27.9,28.4,27.299999,27.9,27.9,1350699
2013-07-31,28.0,28.299999,27.799999,28.0,28.0,1250474
2013-08-01,28.799999,29.0,28.1,28.799999,28.799999,1363440
2013-08-02,29.799999,29.799999,28.700001,29.799999,29.799999,1017163
2013-08-05,31.700001,31.9,29.799999,31.700001,31.700001,2141034
2013-08-06,33.200001,33.299999,31.700001,33.200001,33.200001,1972792
2013-08-07,32.299999,33.599998,32.200001,32.299999,32.299999,923193
2013-08-08,33.200001,33.200001,33.200001,33.200001,33.200001,0
2013-08-09,33.200001,33.200001,33.200001,33.200001,33.200001,0
2013-08-12,32.0,32.900002,31.9,32.0,32.0,1119584
2013-08-13,31.200001,31.799999,30.9,31.200001,31.200001,1103155
2013-08-14,32.400002,32.799999,32.200001,32.700001,32.700001,626536
2013-08-15,32.0,32.0,31.5,31.5,31.5,606948
2013-08-16,31.700001,33.0,31.700001,32.900002,32.900002,629962
2013-08-19,32.0,32.099998,31.299999,31.299999,31.299999,852397
2013-08-20,29.700001,30.200001,29.299999,29.5,29.5,1128580
2013-08-21,28.299999,28.4,26.700001,27.200001,27.200001,1174071
2013-08-22,26.9,28.4,26.6,27.9,27.9,1433293
2013-08-23,29.0,29.6,28.5,29.5,29.5,965865
2013-08-26,29.5,29.700001,29.1,29.5,29.5,600205
2013-08-27,28.6,28.799999,27.0,27.1,27.1,624374
2013-08-28,26.299999,27.9,25.299999,27.0,27.0,1702829
2013-08-29,27.6,28.1,27.5,27.9,27.9,586944
2013-08-30,27.9,27.9,27.9,27.9,27.9,0
2013-09-02,28.6,29.0,28.299999,28.299999,28.299999,260369
2013-09-03,27.5,27.700001,26.5,26.700001,26.700001,413021
2013-09-04,26.700001,27.1,26.4,26.4,26.4,481889
2013-09-05,25.9,26.799999,25.799999,26.1,26.1,625243
2013-09-06,26.299999,26.4,25.6,25.799999,25.799999,840574
2013-09-09,26.4,27.4,26.4,27.4,27.4,751698
2013-09-10,28.1,28.799999,28.1,28.6,28.6,1349746
