Date,Open,High,Low,Close,Adj Close,Volume
2010-01-01,5.7,5.7,5.7,5.7,3.985379,0.0
2010-01-04,5.7,5.75,5.6,5.75,4.020338,2913905.0
2010-01-05,5.75,5.8,5.7,5.8,4.055298,5058266.0
2010-01-06,5.75,5.75,5.65,5.7,3.985379,4992228.0
2010-01-07,5.75,5.75,5.65,5.7,3.985379,2732948.0
2010-01-08,5.75,5.9,5.65,5.85,4.090257,20476268.0
2010-01-11,5.8,5.85,5.65,5.7,3.985379,8156529.0
2010-01-12,5.7,5.7,5.65,5.7,3.985379,1123895.0
2010-01-13,5.65,5.7,5.6,5.7,3.985379,3267399.0
2010-01-14,5.85,5.85,5.6,5.7,3.985379,7593754.0
2010-01-15,5.65,5.7,5.55,5.65,3.950419,3524858.0
2010-01-18,5.65,5.75,5.65,5.75,4.020338,4583537.0
2010-01-19,5.7,5.75,5.6,5.7,3.985379,3574705.0
2010-01-20,5.8,6.1,5.75,6.05,4.230094,23917183.0
2010-01-21,6.05,6.3,6.05,6.25,4.369933,13474574.0
2010-01-22,6.1,6.2,6.0,6.05,4.230094,6597272.0
2010-01-25,6.05,6.1,6.0,6.05,4.230094,2873967.0
2010-01-26,6.0,6.2,6.0,6.15,4.300014,4947557.0
2010-01-27,6.2,6.35,6.2,6.2,4.334973,5806006.0
2010-01-28,6.3,6.5,6.3,6.45,4.509771,9190446.0
2010-01-29,6.45,6.55,6.35,6.45,4.509771,6076034.0
2010-02-01,6.55,6.6,6.45,6.5,4.54473,3582286.0
2010-02-02,6.55,6.6,6.5,6.5,4.54473,2884004.0
2010-02-03,6.55,6.6,6.35,6.35,4.439851,5147831.0
2010-02-04,6.4,6.4,6.3,6.3,4.404892,2409551.0
2010-02-05,6.25,6.25,6.05,6.2,4.334973,5553614.0
2010-02-08,6.25,6.25,5.85,5.9,4.125216,2523290.0
2010-02-09,5.95,6.0,5.8,5.8,4.055298,2957085.0
2010-02-10,5.85,5.95,5.8,5.85,4.090257,2650293.0
2010-02-11,5.85,5.9,5.75,5.85,4.090257,3792797.0
2010-02-12,5.95,6.0,5.75,5.85,4.090257,3196291.0
2010-02-15,5.9,5.95,5.85,5.85,4.090257,965782.0
2010-02-16,5.95,6.05,5.9,6.0,4.195136,2014169.0
2010-02-17,6.05,6.15,6.05,6.1,4.265054,2200837.0
2010-02-18,6.05,6.05,5.85,5.9,4.125216,3929534.0
2010-02-19,5.8,5.9,5.7,5.9,4.125216,7886330.0
2010-02-22,5.95,6.05,5.9,5.95,4.160176,813513.0
2010-02-23,6.0,6.15,5.95,5.95,4.160176,598584.0
2010-02-24,5.95,6.0,5.75,5.8,4.055298,1764602.0
2010-02-25,5.8,5.9,5.6,5.6,3.915459,1497148.0
2010-02-26,5.8,5.85,5.7,5.75,4.020338,1804385.0
2010-03-01,5.85,5.85,5.7,5.85,4.090257,432327.0
2010-03-02,5.95,6.1,5.9,6.05,4.230094,668005.0
2010-03-03,6.0,6.1,5.95,6.05,4.230094,452954.0
2010-03-04,5.85,6.0,5.8,5.85,4.090257,4715142.0
2010-03-05,5.9,5.95,5.8,5.95,4.160176,927448.0
2010-03-08,6.0,6.05,5.9,6.0,4.195136,434984.0
2010-03-09,6.15,6.15,6.0,6.15,4.300014,1148218.0
2010-03-10,6.1,6.2,6.05,6.1,4.265054,230990.0
2010-03-11,6.1,6.25,6.05,6.1,4.265054,692244.0
2010-03-12,6.0,6.1,6.0,6.0,4.195136,685822.0
2010-03-15,6.0,6.1,5.95,6.0,4.195136,1569624.0
2010-03-16,6.05,6.2,6.05,6.2,4.334973,3408408.0
2010-03-17,6.3,6.35,6.25,6.3,4.404892,2091338.0
2010-03-18,6.3,6.35,6.25,6.3,4.404892,4205674.0
2010-03-19,6.25,6.4,6.25,6.25,4.369933,2102797.0
2010-03-22,6.25,6.3,6.2,6.25,4.369933,3658521.0
2010-03-23,6.3,6.35,6.25,6.3,4.404892,2227689.0
2010-03-24,6.3,6.45,6.2,6.3,4.404892,4167754.0
2010-03-25,6.5,6.55,6.35,6.5,4.54473,5989712.0
2010-03-26,6.65,6.7,6.5,6.65,4.649608,4836918.0
2010-03-29,6.75,6.85,6.7,6.75,4.719528,3018229.0
2010-03-30,6.75,6.9,6.6,6.75,4.719528,2949161.0
2010-03-31,6.5,6.8,6.45,6.5,4.54473,3813092.0
2010-04-01,6.75,6.75,6.5,6.75,4.719528,2400468.0
2010-04-02,6.75,6.8,6.7,6.75,4.719528,745912.0
2010-04-05,6.75,6.85,6.7,6.75,4.719528,1878422.0
2010-04-06,6.85,6.95,6.7,6.85,4.789446,2276784.0
2010-04-07,6.9,6.9,6.75,6.9,4.824405,3161707.0
2010-04-08,6.8,6.9,6.75,6.8,4.754487,1250462.0
2010-04-09,6.9,7.0,6.75,6.9,4.824405,2008003.0
2010-04-12,6.7,7.0,6.65,6.7,4.684567,1374400.0
2010-04-13,6.5,6.7,6.5,6.5,4.54473,1901317.0
2010-04-14,6.75,6.85,6.55,6.75,4.719528,2791239.0
2010-04-15,6.7,6.9,6.7,6.7,4.684567,1743776.0
2010-04-16,6.65,6.8,6.65,6.65,4.649608,963118.0
2010-04-19,6.6,6.7,6.55,6.6,4.614648,1664539.0
2010-04-20,6.65,6.7,6.55,6.65,4.649608,169889.0
2010-04-21,6.7,6.8,6.65,6.7,4.684567,1926773.0
2010-04-22,6.7,6.8,6.65,6.7,4.684567,1532068.0
2010-04-23,,,,,,
2010-04-26,6.85,6.95,6.75,6.85,4.789446,2724465.0
2010-04-27,6.6,6.85,6.6,6.6,4.614648,2785060.0
2010-04-28,6.65,6.7,6.4,6.65,4.649608,2701790.0
2010-04-29,6.6,6.7,6.6,6.6,4.614648,1180653.0
2010-04-30,6.75,7.0,6.55,6.75,4.719528,3038413.0
2010-05-03,6.75,6.9,6.7,6.75,4.719528,1945712.0
2010-05-04,6.6,6.8,6.5,6.6,4.614648,2617879.0
2010-05-05,6.3,6.6,6.2,6.3,4.404892,5283148.0
2010-05-06,6.25,6.35,6.2,6.25,4.369933,3661137.0
2010-05-07,5.9,6.55,5.9,5.9,4.125216,1001046.0
2010-05-10,6.4,6.4,6.15,6.4,4.474811,5840910.0
2010-05-11,6.25,6.35,6.15,6.25,4.369933,3708678.0
2010-05-12,6.55,6.6,6.25,6.55,4.57969,4855847.0
2010-05-13,6.55,6.7,6.45,6.55,4.650693,1779279.0
2010-05-14,6.2,6.5,6.15,6.2,4.402183,2473699.0
2010-05-17,6.3,6.35,6.0,6.3,4.473186,4124200.0
2010-05-18,6.65,6.65,6.3,6.65,4.721695,2415306.0
2010-05-19,,,,,,
2010-05-20,6.3,6.5,6.2,6.3,4.473186,4711230.0
2010-05-21,6.3,6.4,6.2,6.3,4.473186,3396259.0
2010-05-24,6.25,6.45,6.15,6.25,4.437683,2871340.0
2010-05-25,6.05,6.15,6.0,6.05,4.295677,3517585.0
2010-05-26,6.25,6.5,6.0,6.25,4.437683,5217630.0
2010-05-27,6.3,6.35,6.15,6.3,4.473186,2476979.0
2010-05-28,6.45,6.55,6.25,6.45,4.57969,6063515.0
2010-05-31,6.3,6.45,6.25,6.3,4.473186,2403590.0
2010-06-01,6.35,6.35,6.15,6.35,4.508687,2177028.0
2010-06-02,6.45,6.55,6.2,6.45,4.57969,3549773.0
2010-06-03,6.55,6.8,6.55,6.7,4.757197,3606892.0
2010-06-04,6.65,6.75,6.4,6.65,4.721695,2518784.0
2010-06-07,6.55,6.6,6.4,6.55,4.650693,2160007.0
2010-06-08,6.25,6.5,6.2,6.25,4.437683,3217079.0
2010-06-09,6.25,6.35,6.1,6.25,4.437683,5114838.0
2010-06-10,6.3,6.4,6.15,6.3,4.473186,3758260.0
2010-06-11,6.35,6.45,6.25,6.35,4.508687,2454333.0
2010-06-14,6.45,6.5,6.3,6.45,4.57969,2923907.0
2010-06-15,6.55,6.55,6.35,6.55,4.650693,2076438.0
2010-06-16,6.55,6.65,6.45,6.55,4.650693,2279129.0
2010-06-17,6.6,6.75,6.5,6.6,4.686193,4160565.0
2010-06-18,6.6,6.85,6.5,6.6,4.686193,3398447.0
2010-06-21,6.85,6.9,6.75,6.85,4.863701,2893703.0
2010-06-22,6.85,6.85,6.7,6.85,4.863701,1470251.0
2010-06-23,6.7,6.8,6.65,6.7,4.757197,1264127.0
2010-06-24,6.7,6.75,6.5,6.7,4.757197,2298609.0
2010-06-25,6.55,6.75,6.5,6.55,4.650693,1978484.0
2010-06-28,6.55,6.65,6.5,6.6,4.686193,1851913.0
2010-06-29,6.6,6.65,6.45,6.6,4.686193,2161966.0
2010-06-30,6.5,6.75,6.3,6.5,4.615191,4033975.0
2010-07-01,6.35,6.4,6.2,6.35,4.508687,3241619.0
2010-07-02,6.35,6.45,6.25,6.35,4.508687,2791035.0
2010-07-05,6.4,6.45,6.3,6.4,4.544188,1866382.0
2010-07-06,6.5,6.5,6.35,6.5,4.615191,2899316.0
2010-07-07,6.45,6.5,6.3,6.45,4.57969,3173683.0
2010-07-08,6.6,6.6,6.5,6.6,4.686193,1495116.0
2010-07-09,6.5,6.6,6.45,6.5,4.615191,2730008.0
2010-07-12,6.7,6.75,6.5,6.7,4.757197,1324498.0
2010-07-13,6.75,6.85,6.65,6.75,4.792698,3195949.0
2010-07-14,6.7,6.9,6.65,6.7,4.757197,2565257.0
2010-07-15,6.55,6.8,6.5,6.55,4.650693,2546267.0
2010-07-16,6.65,6.8,6.5,6.65,4.721695,5319869.0
2010-07-19,6.7,6.8,6.6,6.7,4.757197,1498903.0
2010-07-20,6.75,6.95,6.7,6.75,4.792698,29080968.0
2010-07-21,6.85,7.05,6.75,6.85,4.863701,7493962.0
2010-07-22,6.85,6.95,6.85,6.85,4.863701,3039013.0
2010-07-23,7.0,7.0,6.85,7.0,4.970206,4944837.0
2010-07-26,7.1,7.15,6.9,7.1,5.041209,4100569.0
2010-07-27,7.1,7.35,7.1,7.1,5.041209,5253887.0
2010-07-28,6.95,7.15,6.95,6.95,4.934704,2088127.0
2010-07-29,7.0,7.05,6.95,7.0,4.970206,3113223.0
2010-07-30,6.95,7.05,6.85,6.95,4.934704,1337676.0
2010-08-02,7.0,7.05,6.85,7.0,4.970206,1337676.0
2010-08-03,7.1,7.15,7.0,7.1,5.041209,2439638.0
2010-08-04,7.1,7.15,7.0,7.1,5.041209,12860599.0
2010-08-05,6.95,7.1,6.8,6.95,4.934704,4746738.0
2010-08-06,6.8,7.05,6.75,6.8,4.828199,3233847.0
2010-08-09,6.9,6.95,6.85,6.9,4.899203,3986966.0
2010-08-10,6.9,6.95,6.8,6.9,4.899203,2904148.0
2010-08-11,6.85,7.0,6.8,6.85,4.863701,3072059.0
2010-08-12,6.85,6.9,6.8,6.85,4.863701,2060340.0
2010-08-13,6.9,6.95,6.75,6.9,4.899203,1665232.0
2010-08-16,6.9,6.9,6.8,6.9,4.899203,925295.0
2010-08-17,6.85,6.95,6.85,6.85,4.863701,2187410.0
2010-08-18,6.8,6.95,6.8,6.8,4.828199,2134605.0
2010-08-19,6.65,6.9,6.6,6.65,4.721695,4097754.0
2010-08-20,6.8,6.8,6.6,6.8,4.828199,3516329.0
2010-08-23,6.85,6.9,6.75,6.85,4.863701,2258305.0
2010-08-24,6.65,6.85,6.6,6.65,4.721695,3199019.0
2010-08-25,6.7,6.75,6.6,6.7,4.757197,2828580.0
2010-08-26,6.8,6.8,6.65,6.8,4.828199,1816094.0
2010-08-27,6.85,6.9,6.75,6.85,4.863701,3175984.0
2010-08-30,,,,,,
2010-08-31,6.9,6.9,6.75,6.9,4.899203,3116611.0
2010-09-01,7.05,7.1,6.8,7.05,5.005707,8495494.0
2010-09-02,7.05,7.1,7.0,7.05,5.005707,1649363.0
2010-09-03,7.1,7.1,7.0,7.1,5.041209,1429239.0
2010-09-06,7.1,7.1,7.0,7.1,5.041209,1411066.0
2010-09-07,7.05,7.1,6.95,7.05,5.005707,1280646.0
2010-09-08,7.05,7.15,6.95,7.05,5.005707,1921200.0
2010-09-09,6.95,7.15,6.95,7.05,5.005707,1921200.0
2010-09-10,,,,,,
2010-09-13,7.35,7.4,7.05,7.35,5.218716,7306065.0
2010-09-14,7.3,7.35,7.25,7.3,5.183214,3796607.0
2010-09-15,7.55,7.55,7.25,7.55,5.360723,8680692.0
2010-09-16,7.55,7.55,7.35,7.55,5.360723,3182913.0
2010-09-17,7.55,7.7,7.45,7.55,5.360723,7909222.0
2010-09-20,7.55,7.55,7.4,7.55,5.360723,2878130.0
2010-09-21,7.4,7.5,7.3,7.4,5.254218,16567433.0
2010-09-22,7.35,7.4,7.3,7.35,5.218716,2775998.0
2010-09-23,7.4,7.4,7.25,7.4,5.254218,3468461.0
2010-09-24,7.5,7.5,7.35,7.5,5.325221,1726723.0
2010-09-27,7.5,7.55,7.4,7.5,5.325221,3312235.0
2010-09-28,7.55,7.55,7.4,7.55,5.360723,2871347.0
2010-09-29,7.45,7.65,7.45,7.45,5.289718,16271994.0
2010-09-30,7.5,7.55,7.4,7.5,5.325221,2892844.0
2010-10-01,7.4,7.55,7.35,7.4,5.254218,4728267.0
2010-10-04,7.4,7.5,7.35,7.4,5.254218,3457364.0
2010-10-05,7.55,7.6,7.4,7.55,5.360723,8724762.0
2010-10-06,7.55,7.7,7.5,7.55,5.360723,7425431.0
2010-10-07,7.5,7.6,7.45,7.5,5.325221,4731853.0
2010-10-08,7.65,7.75,7.5,7.65,5.431724,5526173.0
2010-10-11,7.8,7.85,7.65,7.8,5.538229,6285439.0
2010-10-12,7.85,7.9,7.7,7.85,5.573731,7121473.0
2010-10-13,7.6,7.9,7.55,7.6,5.396223,10963551.0
2010-10-14,7.7,7.8,7.65,7.7,5.467226,9014047.0
2010-10-15,7.85,8.0,7.7,7.85,5.573731,14192143.0
2010-10-18,8.0,8.05,7.8,8.0,5.680236,33095815.0
2010-10-19,7.95,8.05,7.85,7.95,5.644733,4346675.0
2010-10-20,7.9,7.95,7.8,7.9,5.609232,4563342.0
2010-10-21,8.2,8.2,7.9,8.2,5.822241,4440075.0
2010-10-22,8.2,8.2,8.05,8.2,5.822241,1985286.0
2010-10-25,8.2,8.3,8.15,8.2,5.822241,3663068.0
2010-10-26,8.15,8.2,8.05,8.15,5.78674,3140351.0
2010-10-27,7.8,8.1,7.65,7.8,5.538229,4103213.0
2010-10-28,7.85,7.95,7.65,7.9,5.609232,1834300.0
2010-10-29,,,,,,
2010-11-01,7.92,8.06,7.9,7.92,5.623433,2837520.0
2010-11-02,7.96,8.02,7.84,7.96,5.651834,3890049.0
2010-11-03,8.02,8.02,7.9,8.02,5.694437,3220052.0
2010-11-04,8.22,8.22,8.02,8.22,5.836442,7224455.0
2010-11-05,8.08,8.24,8.04,8.08,5.737038,2232922.0
2010-11-08,8.06,8.06,7.96,8.06,5.722838,1844628.0
2010-11-09,8.12,8.12,8.02,8.12,5.765439,3129272.0
2010-11-10,7.92,8.14,7.86,7.92,5.623433,6154435.0
2010-11-11,8.06,8.06,7.94,8.06,5.722838,3574402.0
2010-11-12,8.02,8.02,7.24,8.02,5.694437,2785157.0
2010-11-15,8.0,8.16,7.96,8.16,5.79384,646400.0
2010-11-16,,,,,,
2010-11-17,,,,,,
2010-11-18,,,,,,
2010-11-19,,,,,,
2010-11-22,7.74,8.26,7.7,7.74,5.495626,5216142.0
2010-11-23,7.4,7.76,7.26,7.4,5.254218,6546664.0
2010-11-24,7.46,7.6,7.38,7.6,5.396223,4186800.0
2010-11-25,7.58,7.64,7.52,7.58,5.382023,1000261.0
2010-11-26,7.7,7.7,7.4,7.7,5.467226,2468172.0
2010-11-29,7.44,7.72,7.4,7.44,5.282619,3647920.0
2010-11-30,7.42,7.5,7.26,7.42,5.268417,3458915.0
2010-12-01,7.46,7.54,7.4,7.46,5.296819,6673007.0
2010-12-02,7.46,7.62,7.3,7.46,5.296819,5939585.0
2010-12-03,7.58,7.58,7.42,7.58,5.382023,3632275.0
2010-12-06,7.62,7.68,7.58,7.62,5.410424,3126649.0
2010-12-07,7.54,7.66,7.52,7.54,5.353621,5123281.0
2010-12-08,7.5,7.62,7.46,7.5,5.325221,3573217.0
2010-12-09,7.36,7.56,7.22,7.36,5.225816,5164922.0
2010-12-10,7.04,7.38,7.02,7.04,4.998607,5230112.0
2010-12-13,7.04,7.24,6.92,7.2,5.112211,4979200.0
2010-12-14,7.32,7.44,7.18,7.34,5.211616,4590400.0
2010-12-15,7.3,7.3,7.2,7.22,5.126412,2114800.0
2010-12-16,7.18,7.22,7.02,7.14,5.06961,3014500.0
2010-12-17,7.26,7.34,7.02,7.06,5.012808,4496400.0
2010-12-20,7.12,7.14,6.92,7.0,4.970206,4521000.0
2010-12-21,7.12,7.14,6.96,7.12,5.055408,5956609.0
2010-12-22,7.1,7.18,7.08,7.1,5.041209,4463073.0
2010-12-23,7.24,7.26,7.06,7.24,5.140613,4632143.0
2010-12-24,7.24,7.3,7.18,7.24,5.140613,951176.0
2010-12-27,7.1,7.24,7.04,7.1,5.041209,3134842.0
2010-12-28,7.16,7.24,7.12,7.16,5.08381,4223601.0
2010-12-29,7.22,7.26,7.16,7.22,5.126412,6043427.0
2010-12-30,7.3,7.32,7.18,7.3,5.183214,4535717.0
2010-12-31,7.2,7.38,7.16,7.2,5.112211,4453395.0
2011-01-03,7.32,7.32,7.2,7.32,5.197415,4640420.0
2011-01-04,7.34,7.44,7.3,7.34,5.211616,12339258.0
2011-01-05,7.3,7.34,7.2,7.3,5.183214,7083469.0
2011-01-06,7.34,7.4,7.32,7.34,5.211616,7146213.0
2011-01-07,7.26,7.36,7.24,7.26,5.154814,3084847.0
2011-01-10,7.08,7.24,7.06,7.08,5.027008,5862300.0
2011-01-11,7.06,7.2,7.04,7.06,5.012808,7865312.0
2011-01-12,7.2,7.24,7.04,7.2,5.112211,6175075.0
2011-01-13,7.32,7.34,7.2,7.32,5.197415,5125464.0
2011-01-14,7.18,7.38,7.16,7.18,5.098011,3897593.0
2011-01-17,7.22,7.22,7.1,7.22,5.126412,2592354.0
2011-01-18,7.22,7.38,7.18,7.22,5.126412,5785290.0
2011-01-19,7.18,7.3,7.16,7.18,5.098011,3390732.0
2011-01-20,7.14,7.22,7.08,7.14,5.06961,5477831.0
2011-01-21,7.12,7.18,7.02,7.12,5.055408,5478225.0
2011-01-24,7.04,7.14,6.96,7.04,4.998607,3938332.0
2011-01-25,7.08,7.12,7.04,7.08,5.027008,3480740.0
2011-01-26,7.12,7.14,7.06,7.12,5.055408,2069785.0
2011-01-27,7.08,7.18,7.04,7.08,5.027008,3803767.0
2011-01-28,6.9,7.04,6.88,6.9,4.899203,4310650.0
2011-01-31,6.82,6.84,6.66,6.82,4.842401,6329033.0
2011-02-01,6.94,6.96,6.82,6.94,4.927605,5668296.0
2011-02-02,6.94,7.08,6.92,6.94,4.927605,4781023.0
2011-02-03,6.84,7.0,6.8,6.84,4.856601,3855738.0
2011-02-04,6.9,6.96,6.76,6.9,4.899203,4824860.0
2011-02-07,6.84,6.96,6.82,6.84,4.856601,5766091.0
2011-02-08,6.74,6.88,6.72,6.74,4.785598,6107469.0
